DATASOURCE,CREATIONUS,DATECREATE,DATEMODIFI,LASTUSER,BUILDINGID,BUILDINGNO,COMPOUNDNA,ARABICNAME,ENGLISHNAM,NOOFFLOOR,HEIGHT,CONSTRUCTI,DESCRIPTIO,DRAWINGNO,BRANCHES,BuildingAr,ORIG_FID
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,362,X9,غير معروف,غير معروف,Unknown,-1,0.000000000000000,, ,KAAUMasterPlan.dwg,السليمانية,1166,644
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,180,70,فيلات اعضاء هيئة التدريس,فيلات اعضاء هيئة التدريس,Faculty members villas,3,0.000000000000000,,شطر الطلاب,FacultyHousingBuildingV3Type2.dwg,السليمانية,377,646
ملفات اوتوكاد - مسح ميداني,OCC Weavers Ltd.,15-005-14 0:00:00,15-005-14 0:00:00,MOHAMMAD ANABTAWI,0,560,معهد اللغة العربية لغير الناطقين بها,معهد اللغة العربية لغير الناطقين بها,Institute of Arabic to non-native speakers,2,0.000000000000000,,شطر الطلاب, ,السليمانية,960,648
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,47,48_GE,كلية علوم البحار - قسم الدراسات البحرية,كلية علوم البحار - قسم الدراسات البحرية,Environmental Sciences College,3,0.000000000000000,,شطر الطلاب,EnvironmentalCollege48.dwg,السليمانية,1381,655
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,236,98,فيلات اعضاء هيئة التدريس,فيلات اعضاء هيئة التدريس,Faculty members villas,3,0.000000000000000,,شطر الطلاب,FacultyHousingBuildingV3Type2.dwg,السليمانية,282,658
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,332,29,فصول دراسية,فصول دراسية,Class rooms,-1,0.000000000000000,,شطر الطلاب,KAAUMasterPlan.dwg,السليمانية,4875,662
ملفات اوتوكاد - منفذة,FAL,17-006-15 0:00:00,17-006-15 0:00:00, ,0, ,CENTRAL UTILITY PLANT 2, ,CENTRAL UTILITY PLANT 2,0,0.000000000000000,, ,E0-00-PL03-AB,السليمانية,602,667
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,208,39F,فيلات اعضاء هيئة التدريس,فيلات اعضاء هيئة التدريس,Faculty members villas,3,0.000000000000000,,شطر الطلاب,FacultyHousingBuildingV4Type3.dwg,السليمانية,307,669
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,23,8MMC,المركز الطبي,علوم الصحة الاساسية رقم 2,Essential health sciences number 2,4,0.000000000000000,,شطر الطلاب,MenMedicalComplexFloors.dwg,السليمانية,1939,670
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,164,G1,بوابة رقم 1,بوابة رقم 1,Gate number 1,1,0.000000000000000,,شطر الطلاب,SecurityGates.dwg,السليمانية,30,671
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,165,G2,بوابة الملك فهد,بوابة الملك فهد,King Fahd gate,1,0.000000000000000,, ,SecurityGates.dwg,السليمانية,24,674
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,1,4M,معهد السياحة,معهد السياحة,Tourism institute,4,0.000000000000000,,شطر الطلاب,TourismInstitueGroundFloor.dwg,السليمانية,4850,675
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,25,122,كلية الاقتصاد والادارة,كلية الاقتصاد والادارة - مركز تطوير الاعم,Economice and administration college,4,0.000000000000000,,شطر الطلاب,EconomicAdministrationCollege122.dwg,السليمانية,2162,676
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,169,G7,بوابة رقم 7,بوابة رقم 7,Gate number 7,1,0.000000000000000,, ,SecurityGates.dwg,السليمانية,27,681
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,343,8,نادى منسوبي الجامعة,نادى منسوبي الجامعة,University members club,-1,0.000000000000000,,شطر الطلاب,KAAUMasterPlan.dwg,السليمانية,3706,682
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,78,3M,كلية العلوم الطبية التطبيقية,كلية العلوم الطبية التطبيقية,College of Applied Medical Sciences,4,0.000000000000000,,شطر الطلاب,MedicalScienceCollegeGroundFloor.dwg,السليمانية,4575,683
